item,claimtext,veracity
claim01,A Small Group of People Control the World Economy by Manipulating the Price of Gold and Oil,Misinformation
claim02,A Study Found That the Mainstream Media Is Lying about the Cause of Lyme Disease,Misinformation
claim03,African Nations Are Expected to Hand Over Control of Their Resources to Western Investors Within a Decade,Misinformation
claim04,Breaking News: Australia Is the Only Country That Lets Pedophiles Off the Hook,Misinformation
claim05,Breaking News: Scientists Found a Link Between Climate Change and Tooth Decay,Misinformation
claim06,Certain Vaccines Are Loaded with Dangerous Chemicals and Toxins,Misinformation
claim07,Doctors Are Paid to Promote All Kinds of Ridiculous Harmful and Dangerous Treatments,Misinformation
claim08,Ebola Virus 'Caused by US Nuclear Weapons Testing' New Study Says,Misinformation
claim09,Google Has Made It Illegal to Film Police Officers in the US,Misinformation
claim10,Government Officials Have Illegally Manipulated the Weather to Cause Devastating Storms,Misinformation
claim11,Government Officials Have Manipulated Stock Prices to Hide Scandals,Misinformation
claim12,New Data Show Shark Fins Are the 'Most Important Source of Protein' for the World's Poor,Misinformation
claim13,New Study: Americans Are the Most Religious People on Earth,Misinformation
claim14,New Study: Clear Relationship Between Eye Color and Intelligence,Misinformation
claim15,Scientists Are Working to Genetically Engineer Food to Produce a Toxin That Will Give It Aphrodisiac Qualities,Misinformation
claim16,Scientists at Harvard Are Now Talking about the Possibility of the Moon Landing Being Faked,Misinformation
claim17,Scientists Find 'Genetic Basis' for Right-Wing Extremist Views,Misinformation
claim18,"Sudden Infant Death Syndrome (SIDS) Is Now a ""Scientific"" Epidemic and the Media and Medical Community Has Been Covering It up for Decades",Misinformation
claim19,The Corporate Media Is Controlled by the Military-industrial Complex: The Major Oil Companies Own the Media and Control Their Agenda,Misinformation
claim20,The Drug Companies Have Been Controlling the Political Arena for Over a Hundred Years,Misinformation
claim21,The Government Has Secret Information on Every Citizen Including Their Financial and Medical Information,Misinformation
claim22,The Government Is Actively Destroying Evidence Related to the JFK Assassination,Misinformation
claim23,The Government Is Conducting a Massive Cover-Up of Their Involvement in 9/11,Misinformation
claim24,The Government Is Knowingly Spreading Disease Through the Airwaves and Food Supply,Misinformation
claim25,The Government Is Manipulating the Public's Perception of Genetic Engineering in Order to Make People More Accepting of Such Techniques,Misinformation
claim26,"The Government Is Secretly Stockpiling Food and Other Goods in Case of a ""Hard-Currency Collapse""",Misinformation
claim27,The Mainstream Media Is Misinforming about Vaccinations: Vaccines Cause Autism Vaccines Are Unsafe and Dangerous,Misinformation
claim28,The More You Learn About the Moon Landing the More You Realize That It Was Faked,Misinformation
claim29,"The So-Called ""Overdose"" Epidemic Is a Myth and Those Who Believe It Are ""Nutritional Extremists""",Misinformation
claim30,UFO Sightings Are Actually the Result of Secret Military Experiments,Misinformation
claim31,UK Will Have to Spend up to £23bn on Military in Response to Right-Wing Extremism,Misinformation
claim32,UN Report: Worldwide Rise of Infant Mortality Due to Modern Medicine,Misinformation
claim33,UN: More than 50% of the World's Population Will Face Famine by 2070,Misinformation
claim34,UN: New Report Shows Shark Fin Soup as 'the Most Important Source of Protein' for World's Poor,Misinformation
claim35,US Is the Most Dangerous Place on Earth for Women,Misinformation
